Full.Country.Name;ISO3.Code;Region.Code,
Afghanistan;AFG;RWO,
Aland Islands;ALA;RWO,
Albania;ALB;RWO,
Algeria;DZA;RWO,
American Samoa;ASM;RWO,
Andorra;AND;RWO,
Angola;AGO;RWO,
Anguilla;AIA;RWO,
Antarctica;ATA;RWO,
Antigua and Barbuda;ATG;RWO,
Argentina;ARG;RWO,
Armenia;ARM;RWO,
Aruba;ABW;RWO,
Australia;AUS;RWO,
Austria;AUT;RWO,
Azerbaijan;AZE;RWO,
Bahamas;BHS;RWO,
Bahrain;BHR;RWO,
Bangladesh;BGD;RWO,
Barbados;BRB;RWO,
Belarus;BLR;RWO,
Belgium;BEL;RWO,
Belize;BLZ;RWO,
Benin;BEN;RWO,
Bermuda;BMU;RWO,
Bhutan;BTN;RWO,
Bolivia, Plurinational State of;BOL;RWO
Bonaire, Sint Eustatius and Saba;BES;RWO
Bosnia and Herzegovina;BIH;RWO,
Botswana;BWA;RWO,
Bouvet Island;BVT;RWO,
Brazil;BRA;RWO,
British Indian Ocean Territory;IOT;RWO,
Brunei Darussalam;BRN;RWO,
Bulgaria;BGR;RWO,
Burkina Faso;BFA;RWO,
Burundi;BDI;RWO,
Cambodia;KHM;RWO,
Cameroon;CMR;RWO,
Canada;CAN;RWO,
Cape Verde;CPV;RWO,
Cayman Islands;CYM;RWO,
Central African Republic;CAF;RWO,
Chad;TCD;RWO,
Chile;CHL;RWO,
China;CHN;CHA,
Christmas Island;CXR;RWO,
Cocos (Keeling) Islands;CCK;RWO,
Colombia;COL;RWO,
Comoros;COM;RWO,
Congo;COG;RWO,
Congo, the Democratic Republic of the;COD;RWO
Cook Islands;COK;RWO,
Costa Rica;CRI;RWO,
Cote d Ivoire;CIV;RWO,
Croatia;HRV;RWO,
Cuba;CUB;RWO,
Curacao;CUW;RWO,
Cyprus;CYP;RWO,
Czech Republic;CZE;RWO,
Denmark;DNK;RWO,
Djibouti;DJI;RWO,
Dominica;DMA;RWO,
Dominican Republic;DOM;RWO,
Ecuador;ECU;RWO,
Egypt;EGY;RWO,
El Salvador;SLV;RWO,
Equatorial Guinea;GNQ;RWO,
Eritrea;ERI;RWO,
Estonia;EST;RWO,
Ethiopia;ETH;RWO,
Falkland Islands (Malvinas);FLK;RWO,
Faroe Islands;FRO;RWO,
Fiji;FJI;RWO,
Finland;FIN;RWO,
France;FRA;RWO,
French Guiana;GUF;RWO,
French Polynesia;PYF;RWO,
French Southern Territories;ATF;RWO,
Gabon;GAB;RWO,
Gambia;GMB;RWO,
Georgia;GEO;RWO,
Germany;DEU;DEU,
Ghana;GHA;RWO,
Gibraltar;GIB;RWO,
Greece;GRC;RWO,
Greenland;GRL;RWO,
Grenada;GRD;RWO,
Guadeloupe;GLP;RWO,
Guam;GUM;RWO,
Guatemala;GTM;RWO,
Guernsey;GGY;RWO,
Guinea;GIN;RWO,
Guinea-Bissau;GNB;RWO,
Guyana;GUY;RWO,
Haiti;HTI;RWO,
Heard Island and McDonald Islands;HMD;RWO,
Holy See (Vatican City State);VAT;RWO,
Honduras;HND;RWO,
Hong Kong;HKG;CHA,
Hungary;HUN;RWO,
Iceland;ISL;RWO,
India;IND;IND,
Indonesia;IDN;RWO,
Iran, Islamic Republic of;IRN;RWO
Iraq;IRQ;RWO,
Ireland;IRL;RWO,
Isle of Man;IMN;RWO,
Israel;ISR;RWO,
Italy;ITA;RWO,
Jamaica;JAM;RWO,
Japan;JPN;RWO,
Jersey;JEY;RWO,
Jordan;JOR;RWO,
Kazakhstan;KAZ;RWO,
Kenya;KEN;RWO,
Kiribati;KIR;RWO,
Korea, Democratic People's Republic of;PRK;RWO
Korea, Republic of;KOR;RWO
Kuwait;KWT;RWO,
Kyrgyzstan;KGZ;RWO,
Lao People's Democratic Republic;LAO;RWO,
Latvia;LVA;RWO,
Lebanon;LBN;RWO,
Lesotho;LSO;RWO,
Liberia;LBR;RWO,
Libya;LBY;RWO,
Liechtenstein;LIE;RWO,
Lithuania;LTU;RWO,
Luxembourg;LUX;RWO,
Macao;MAC;CHA,
Macedonia, the former Yugoslav Republic of;MKD;RWO
Madagascar;MDG;RWO,
Malawi;MWI;RWO,
Malaysia;MYS;RWO,
Maldives;MDV;RWO,
Mali;MLI;RWO,
Malta;MLT;RWO,
Marshall Islands;MHL;RWO,
Martinique;MTQ;RWO,
Mauritania;MRT;RWO,
Mauritius;MUS;RWO,
Mayotte;MYT;RWO,
Mexico;MEX;RWO,
Micronesia, Federated States of;FSM;RWO
Moldova, Republic of;MDA;RWO
Monaco;MCO;RWO,
Mongolia;MNG;RWO,
Montenegro;MNE;RWO,
Montserrat;MSR;RWO,
Morocco;MAR;RWO,
Mozambique;MOZ;RWO,
Myanmar;MMR;RWO,
Namibia;NAM;RWO,
Nauru;NRU;RWO,
Nepal;NPL;RWO,
Netherlands;NLD;RWO,
New Caledonia;NCL;RWO,
New Zealand;NZL;RWO,
Nicaragua;NIC;RWO,
Niger;NER;RWO,
Nigeria;NGA;RWO,
Niue;NIU;RWO,
Norfolk Island;NFK;RWO,
Northern Mariana Islands;MNP;RWO,
Norway;NOR;RWO,
Oman;OMN;RWO,
Pakistan;PAK;RWO,
Palau;PLW;RWO,
Palestine, State of;PSE;RWO
Panama;PAN;RWO,
Papua New Guinea;PNG;RWO,
Paraguay;PRY;RWO,
Peru;PER;RWO,
Philippines;PHL;RWO,
Pitcairn;PCN;RWO,
Poland;POL;RWO,
Portugal;PRT;RWO,
Puerto Rico;PRI;RWO,
Qatar;QAT;RWO,
Reunion;REU;RWO,
Romania;ROU;RWO,
Russian Federation;RUS;RWO,
Rwanda;RWA;RWO,
Saint Barthelemy;BLM;RWO,
Saint Helena, Ascension and Tristan da Cunha;SHN;RWO
Saint Kitts and Nevis;KNA;RWO,
Saint Lucia;LCA;RWO,
Saint Martin (French part);MAF;RWO,
Saint Pierre and Miquelon;SPM;RWO,
Saint Vincent and the Grenadines;VCT;RWO,
Samoa;WSM;RWO,
San Marino;SMR;RWO,
Sao Tome and Principe;STP;RWO,
Saudi Arabia;SAU;RWO,
Senegal;SEN;RWO,
Serbia;SRB;RWO,
Seychelles;SYC;RWO,
Sierra Leone;SLE;RWO,
Singapore;SGP;RWO,
Sint Maarten (Dutch part);SXM;RWO,
Slovakia;SVK;RWO,
Slovenia;SVN;RWO,
Solomon Islands;SLB;RWO,
Somalia;SOM;RWO,
South Africa;ZAF;RWO,
South Georgia and the South Sandwich Islands;SGS;RWO,
South Sudan;SSD;RWO,
Spain;ESP;RWO,
Sri Lanka;LKA;RWO,
Sudan;SDN;RWO,
Suriname;SUR;RWO,
Svalbard and Jan Mayen;SJM;RWO,
Swaziland;SWZ;RWO,
Sweden;SWE;RWO,
Switzerland;CHE;RWO,
Syrian Arab Republic;SYR;RWO,
Taiwan, Province of China;TWN;CHA
Tajikistan;TJK;RWO,
Tanzania, United Republic of;TZA;RWO
Thailand;THA;RWO,
Timor-Leste;TLS;RWO,
Togo;TGO;RWO,
Tokelau;TKL;RWO,
Tonga;TON;RWO,
Trinidad and Tobago;TTO;RWO,
Tunisia;TUN;RWO,
Turkey;TUR;RWO,
Turkmenistan;TKM;RWO,
Turks and Caicos Islands;TCA;RWO,
Tuvalu;TUV;RWO,
Uganda;UGA;RWO,
Ukraine;UKR;RWO,
United Arab Emirates;ARE;RWO,
United Kingdom;GBR;RWO,
United States;USA;USA,
United States Minor Outlying Islands;UMI;RWO,
Uruguay;URY;RWO,
Uzbekistan;UZB;RWO,
Vanuatu;VUT;RWO,
Venezuela, Bolivarian Republic of;VEN;RWO
Viet Nam;VNM;RWO,
Virgin Islands, British;VGB;RWO
Virgin Islands, U.S.;VIR;RWO
Wallis and Futuna;WLF;RWO,
Western Sahara;ESH;RWO,
Yemen;YEM;RWO,
Zambia;ZMB;RWO,
Zimbabwe;ZWE;RWO,
